,world_x,world_y,eye_x,eye_y,eye_w,eye_h,pipil_x,pupil_y,pupil_w,pupil_h
296,311,270,194,194,372,172,273,194,200,159
297,245,287,130,164,447,206,353,194,199,159
298,351,232,130,164,447,206,234,174,199,159
299,337,281,130,198,447,207,257,209,239,191
300,409,241,130,198,447,207,185,209,239,191
301,348,259,165,194,373,172,254,194,199,159
302,371,278,130,198,447,207,234,214,199,159
303,211,307,165,194,373,172,373,194,199,159
304,373,211,165,165,373,172,234,154,199,159
305,348,209,165,165,373,172,234,174,199,159
306,319,202,165,136,373,172,254,134,199,159
307,288,266,165,165,373,172,273,154,200,159
308,351,278,165,194,373,172,233,185,239,191
309,197,262,130,130,447,206,373,154,199,159
310,342,285,165,194,373,172,233,185,239,191
311,415,351,165,194,373,172,233,185,239,191
312,452,229,136,165,373,172,145,194,166,133
313,374,276,130,198,447,207,234,214,199,159
314,346,232,130,198,447,207,209,185,239,191
315,344,274,165,194,373,172,273,174,200,159
316,321,245,130,164,447,206,273,174,200,159
317,293,208,165,136,373,172,273,134,200,159
318,330,264,130,198,447,207,257,209,239,191
319,300,250,130,164,447,206,257,161,239,191
320,327,237,165,165,373,172,254,154,199,159
321,301,238,130,130,447,206,257,137,239,191
322,310,248,130,164,447,206,293,174,199,159
323,340,237,130,198,447,207,209,185,239,191
324,325,286,130,198,447,207,257,185,239,191
325,328,231,165,165,373,172,254,174,199,159
326,343,243,164,198,447,207,233,209,239,191
327,317,274,165,194,373,172,273,194,200,159
328,330,249,165,165,373,172,254,174,199,159
329,224,303,165,165,373,172,353,174,199,159
330,358,200,165,165,373,172,234,154,199,159
331,381,223,130,164,447,206,234,174,199,159
332,360,338,165,194,373,172,293,194,199,159
333,292,287,165,165,373,172,293,174,199,159
334,356,275,165,194,373,172,254,214,199,159
335,336,239,165,165,373,172,254,174,199,159
336,340,230,165,165,373,172,273,154,200,159
337,354,277,165,194,373,172,209,161,239,191
338,315,270,194,194,372,172,293,194,199,159
339,417,218,95,164,447,206,174,194,199,159
340,309,277,165,194,373,172,257,161,239,191
341,295,292,165,194,373,172,273,194,200,159
342,314,236,165,165,373,172,281,137,239,191
343,316,211,130,164,447,206,233,161,239,191
344,474,271,165,222,373,172,178,244,166,133
345,214,215,130,130,447,206,333,114,199,159
346,324,230,165,165,373,172,254,174,199,159
347,348,214,95,130,447,206,214,134,199,159
348,319,256,165,194,373,172,257,161,239,191
349,353,299,194,222,372,172,254,234,199,159
350,374,266,130,198,447,207,233,209,239,191
351,280,297,130,198,447,207,328,185,239,191
352,366,235,130,164,447,206,234,194,199,159
353,347,282,165,194,373,172,234,194,199,159
354,256,272,130,164,447,206,328,161,239,191
355,421,267,165,222,373,172,194,214,199,159
356,338,360,194,222,372,172,194,214,199,159
357,246,283,130,164,447,206,353,194,199,159
358,309,220,130,130,447,206,273,134,200,159
359,287,292,165,194,373,172,273,174,200,159
360,314,204,165,136,373,172,254,134,199,159
361,350,228,165,165,373,172,233,161,239,191
362,368,258,165,194,373,172,234,194,199,159
363,349,288,130,198,447,207,254,214,199,159
364,330,155,165,136,373,172,234,114,199,159
365,293,317,194,194,372,172,293,214,199,159
366,244,285,130,164,447,206,353,194,199,159
367,373,227,130,198,447,207,185,185,239,191
368,302,225,165,165,373,172,273,154,200,159
369,330,261,130,198,447,207,257,185,239,191
370,353,268,130,198,447,207,233,185,239,191
371,278,283,165,165,373,172,281,161,239,191
372,381,247,95,164,447,206,194,174,199,159
373,338,289,165,194,373,172,254,194,199,159
374,299,286,165,165,373,172,273,174,200,159
375,380,198,130,164,447,206,185,161,239,191
376,273,216,165,165,373,172,305,137,238,191
377,267,258,130,164,447,206,305,161,238,191
378,298,286,165,165,373,172,273,174,200,159
379,345,271,165,194,373,172,254,214,199,159
380,363,239,165,194,373,172,234,194,199,159
381,334,349,194,251,372,172,234,194,199,159
382,357,297,194,222,372,172,254,234,199,159
383,367,232,136,165,373,172,194,154,199,159
384,249,235,165,136,373,172,313,134,199,159
385,344,229,130,164,447,206,254,174,199,159
386,300,271,130,164,447,206,257,161,239,191
387,293,287,165,165,373,172,293,174,199,159
388,329,304,165,194,373,172,254,214,199,159
389,322,242,130,164,447,206,233,161,239,191
390,335,249,165,165,373,172,254,154,199,159
391,346,334,194,222,372,172,254,234,199,159
392,371,277,136,194,373,172,214,194,199,159
393,315,246,165,165,373,172,233,137,239,191
394,250,231,165,136,373,172,273,134,200,159
395,479,244,130,198,447,207,161,244,166,133
396,256,243,130,130,447,206,333,134,199,159
397,245,314,194,194,372,172,353,194,199,159
398,330,263,165,194,373,172,254,194,199,159
399,342,253,165,194,373,172,254,174,199,159
